tablet_a,tablet_b,designation_a,designation_b,ruler,regnal_year,month,day,total_animals,tx_a,tx_b,source_match,receiver_match,anchors_matched,match_strength
105886,105892,"BIN 03, 080","BIN 03, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105886,105893,"BIN 03, 080","BIN 03, 087",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105886,124971,"BIN 03, 080","OrSP 47-49, 083",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105886,124972,"BIN 03, 080","OrSP 47-49, 084",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105886,124973,"BIN 03, 080","OrSP 47-49, 085",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105886,124974,"BIN 03, 080","OrSP 47-49, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105886,131673,"BIN 03, 080","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105892,105893,"BIN 03, 086","BIN 03, 087",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105892,124971,"BIN 03, 086","OrSP 47-49, 083",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105892,124972,"BIN 03, 086","OrSP 47-49, 084",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105892,124973,"BIN 03, 086","OrSP 47-49, 085",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105892,124974,"BIN 03, 086","OrSP 47-49, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105892,131673,"BIN 03, 086","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105893,124971,"BIN 03, 087","OrSP 47-49, 083",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105893,124972,"BIN 03, 087","OrSP 47-49, 084",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105893,124973,"BIN 03, 087","OrSP 47-49, 085",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105893,124974,"BIN 03, 087","OrSP 47-49, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105893,131673,"BIN 03, 087","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
105900,134825,"BIN 03, 094",TRU 061,Amar-Suen,4,4,25,3,transfer,transfer,1,0,date|quantity|source,3
105908,113401,"BIN 03, 102","MVN 02, 102",Amar-Suen,4,9,13,1,transfer,transfer,1,0,date|quantity|source,3
105912,200547,"BIN 03, 106","JEOL 26, 49 06",Amar-Suen,5,3,2,3,transfer,transfer,1,0,date|quantity|source,3
105917,125489,"BIN 03, 111","PDT 1, 0073",Amar-Suen,5,4,7,4,transfer,transfer,1,0,date|quantity|source,3
105919,109652,"BIN 03, 113",Hirose 181,Amar-Suen,5,2,1,8,transfer,transfer,1,0,date|quantity|source,3
105919,127470,"BIN 03, 113","RA 009, 049 SA 136",Amar-Suen,5,2,1,8,transfer,transfer,1,0,date|quantity|source,3
105948,122768,"BIN 03, 142",NYPL 230,Amar-Suen,7,8,24,35,transfer,transfer,1,0,date|quantity|source,3
105958,201035,"BIN 03, 152","Princeton 2, 037",Amar-Suen,8,3,29,1,expenditure,transfer,1,0,date|quantity|source,3
105963,407588,"BIN 03, 157","HSS 68, 617",Amar-Suen,8,2,3,1,expenditure,transfer,1,0,date|quantity|source,3
105964,124922,"BIN 03, 158","OrSP 47-49, 034",Amar-Suen,8,2,16,1,transfer,expenditure,1,0,date|quantity|source,3
105969,210301,"BIN 03, 163","BPOA 06, 0516",Amar-Suen,8,10,16,2,transfer,transfer,1,0,date|quantity|source,3
105973,124661,"BIN 03, 167","Orient 16, 049 34",Amar-Suen,8,8,20,1,transfer,transfer,1,0,date|quantity|source,3
105990,115974,"BIN 03, 184","MVN 10, 207",Amar-Suen,8,10,17,7,transfer,transfer,1,0,date|quantity|source,3
106002,131676,"BIN 03, 196","TCL 02, 5587",Amar-Suen,8,8,19,20,transfer,transfer,1,0,date|quantity|source,3
106072,115458,"BIN 03, 266","MVN 08, 067",Amar-Suen,6,9,20,2,transfer,transfer,1,0,date|quantity|source,3
106077,210366,"BIN 03, 271","BPOA 06, 0586",Amar-Suen,6,9,25,20,transfer,transfer,1,0,date|quantity|source,3
106084,211670,"BIN 03, 278","Hermitage 3, 314",Amar-Suen,6,4,11,2,transfer,transfer,1,0,date|quantity|source,3
106106,126164,"BIN 03, 300","PDT 2, 0799",Amar-Suen,2,1,29,3,transfer,transfer,1,0,date|quantity|source,3
106242,125667,"BIN 03, 435","PDT 1, 0251",Šū-Suen,1,5,3,2,expenditure,expenditure,1,0,date|quantity|source,3
106316,106321,"BIN 03, 509","BIN 03, 514",Šulgi,47,5,10,8,expenditure,expenditure,1,0,date|quantity|source,3
106344,123814,"BIN 03, 537","OIP 121, 084",Amar-Suen,5,3,29,6,transfer,transfer,0,1,date|quantity|receiver,3
107596,109504,CST 084,Hirose 033,Šulgi,45,1,18,2,receipt,receipt,0,1,date|quantity|receiver,3
107618,123500,CST 106,"OIP 115, 405",Šulgi,46,4,23,11,receipt,receipt,0,1,date|quantity|receiver,3
107687,128833,CST 175,"SACT 1, 078",Šulgi,47,5,13,2,receipt,receipt,0,1,date|quantity|receiver,3
107826,122182,CST 311,"Nik 2, 499",Amar-Suen,5,4,22,1,transfer,transfer,1,0,date|quantity|source,3
107831,134826,CST 316,TRU 062,Amar-Suen,5,5,7,2,expenditure,transfer,1,0,date|quantity|source,3
107833,123946,CST 318,"OIP 121, 216",Amar-Suen,5,5,29,1,transfer,transfer,1,0,date|quantity|source,3
107833,125539,CST 318,"PDT 1, 0122",Amar-Suen,5,5,29,1,transfer,transfer,1,0,date|quantity|source,3
